"week","id","scheduled","home_team","away_team","home_points","away_points","home_total_rushing_yards","away_total_rushing_yards","home_total_passing_yards","away_total_passing_yards"
"3","c50436d3-c239-45a9-8ebd-1d5731c9fd53","2020-09-27T17:00:00+00:00","Giants","49ers",9,36,66,93,179,343
"3","e0d67724-7dc5-45c9-badd-8e787bb6add2","2020-09-25T00:20:00+00:00","Jaguars","Dolphins",13,31,72,138,275,160
"3","f49af4e5-5788-4a6b-8d1f-186cb62c1e8e","2020-09-28T00:20:00+00:00","Saints","Packers",30,37,122,98,288,283
"4","0018213e-8423-40ab-b60d-562de98b6330","2020-10-04T20:05:00+00:00","Rams","Giants",17,9,58,136,200,190
"4","0242a609-d71b-48b5-a29c-1c7e174d8990","2020-10-04T17:00:00+00:00","Buccaneers","Chargers",38,31,115,46,369,290
"4","03be549b-8c75-48d3-baf2-c33a62a7c371","2020-10-06T01:00:00+00:00","Packers","Falcons",30,16,88,78,327,285
"4","42c665f2-17a2-4921-8eef-064192ba0a2c","2020-10-05T00:20:00+00:00","49ers","Eagles",20,25,116,93,338,193
"4","43b82a56-e41e-43d4-a6b7-71201828dfe0","2020-10-04T17:00:00+00:00","Cowboys","Browns",38,49,85,307,502,202
"4","53928ec4-ad46-4de1-a1d8-eb417f6550d6","2020-10-04T20:25:00+00:00","Raiders","Bills",23,30,86,63,311,288
"4","58d00e2a-b40b-4032-9af4-05ffc9a272b0","2020-10-04T17:00:00+00:00","Football Team","Ravens",17,31,69,144,314,208
"4","a7d0e124-bd5d-4062-87b6-8cdd3e4d159d","2020-10-05T23:05:00+00:00","Chiefs","Patriots",26,10,94,185,236,190
"4","aa5698b5-da42-40d3-aa80-8a464cc65bf1","2020-10-02T00:20:00+00:00","Jets","Broncos",28,37,129,117,246,242
"4","b5de3d85-644f-49ba-8cfa-0148616d8546","2020-10-04T17:00:00+00:00","Panthers","Cardinals",31,21,168,129,276,133
"4","c3c93a4e-a87f-492f-ad5e-e4315150a295","2020-10-04T17:00:00+00:00","Lions","Saints",29,35,90,164,206,246
"4","c9f4ab3d-f6e3-4e14-9526-a1b15203404d","2020-10-04T17:00:00+00:00","Bengals","Jaguars",33,25,205,89,300,351
"4","ce0d7aac-7014-4660-b8ad-c2b4ae0b70b4","2020-10-04T17:00:00+00:00","Texans","Vikings",23,31,96,162,300,260
"4","d57f9c68-72ce-4072-87c6-94bf8aaa3337","2020-10-04T17:00:00+00:00","Dolphins","Seahawks",23,31,103,98,315,360
"4","eefa091e-5a16-47c8-8bd3-04f80de77f0a","2020-10-04T20:25:00+00:00","Bears","Colts",11,19,28,103,249,190
"5","27c2b2a6-4f0c-4bb4-a2e8-b0d11d6038b6","2020-10-11T17:00:00+00:00","Ravens","Bengals",27,3,161,70,180,183
"5","2c0223d6-04d2-4b6e-82a3-4ce8e6da4912","2020-10-11T20:25:00+00:00","Cowboys","Giants",37,34,126,89,288,222
"5","67955e00-7547-4fe1-b63a-0d667abf2c93","2020-10-11T17:00:00+00:00","Steelers","Eagles",38,29,136,94,239,276
"5","80489d16-7460-4acb-890c-3babca399183","2020-10-13T00:15:00+00:00","Saints","Chargers",30,27,95,111,325,264
"5","adcc4902-b1af-486a-838e-8ca23f72eebd","2020-10-09T00:20:00+00:00","Bears","Buccaneers",20,19,35,106,243,253
"5","b49b93dc-c3c9-403b-bb59-8c07848102cb","2020-10-11T17:00:00+00:00","Falcons","Panthers",16,23,166,124,226,313
"5","b8526c4c-dd50-4140-9775-f9f41814b16e","2020-10-11T17:00:00+00:00","Chiefs","Raiders",32,40,80,144,340,347
